Date,Daily Volume
2020-07-13,2509.64930054
2020-07-14,1020.35065603
2020-07-15,3331.23405044
2020-07-16,1148.6500404
2020-07-17,1470.86664627
2020-07-18,1604.2783263
2020-07-19,1542.7400907800002
2020-07-20,5774.22479224
2020-07-21,4696.70718738
2020-07-22,5004.5509366900005
2020-07-23,2625.63892782
2020-07-24,3004.5611957300002
2020-07-25,10153.27739609
2020-07-26,23660.702738329997
2020-07-27,10869.24457703
2020-07-28,9718.442000160001
2020-07-29,4975.39552321
2020-07-30,6572.83339386
2020-07-31,12201.9253195
2020-08-01,15045.32183436
2020-08-02,4539.65017178
2020-08-03,3618.0553384600003
2020-08-04,6527.47185569
2020-08-05,4445.09237438
2020-08-06,5644.91607171
2020-08-07,2076.53961711
2020-08-08,1729.03627178
2020-08-09,7422.32167727
