Date,total_out_BTC_usd
2014-04-27,765211.0554166936
2014-04-28,1715860.7934525998
2014-04-29,1478931.928877655
2014-04-30,1642130.4039245078
2014-05-01,1157615.9042512437
2014-05-02,1797639.9720557043
2014-05-03,1714140.3768010086
2014-05-04,1233402.8160857663
2014-05-05,2173439.1748884646
2014-05-06,1559734.9396833072
2014-05-07,2313960.2412254116
2014-05-08,3658261.6336189285
2014-05-09,3364231.6505272575
2014-05-10,1671731.16917036
2014-05-11,1306909.7453123087
2014-05-12,1482788.6564355283
2014-05-13,1866209.3972253844
2014-05-14,2169701.0540900435
2014-05-15,2164515.202020954
2014-05-16,1607375.1667503233
2014-05-17,1257460.6004903975
2014-05-18,713614.1653744633
2014-05-19,1544011.932522886
2014-05-20,4190871.1763152624
2014-05-21,2191134.1407548734
2014-05-22,2358152.9130834904
2014-05-23,3993850.897712269
2014-05-24,3411798.5213765656
2014-05-25,3052453.289131211
2014-05-26,2765231.467894489
2014-05-27,4057501.8418540494
2014-05-28,2944250.4759046463
2014-05-29,2905510.6700184685
2014-05-30,3491253.447187156
2014-05-31,2513824.9248553826
2014-06-01,2818780.0737634627
2014-06-02,3317781.9788148333
2014-06-03,3251233.7967008525
2014-06-04,3778566.67942492
2014-06-05,4055059.4700860525
2014-06-06,4961589.031346516
2014-06-07,2576421.857706999
2014-06-08,3689039.457860647
2014-06-09,1638580.2540069933
2014-06-10,2244573.376454392
2014-06-11,2138126.5548497764
2014-06-12,3862927.4751353203
2014-06-13,2605560.237253982
2014-06-14,1531738.882051384
2014-06-15,1358348.93754083
2014-06-16,2406944.489076124
2014-06-17,1596199.622425915
2014-06-18,2071813.5162545335
2014-06-19,2557567.2225609547
2014-06-20,1797658.4692347653
2014-06-21,1499253.8593030793
2014-06-22,1730478.7464509767
2014-06-23,2041110.7032917566
2014-06-24,2645547.534428704
2014-06-25,1564190.2332772
2014-06-26,1815334.404322657
2014-06-27,1469798.63624049
2014-06-28,1120023.7131470018
2014-06-29,1440446.4815250048
2014-06-30,3329135.996240876
2014-07-01,4377461.507417837
2014-07-02,4443712.0055290265
2014-07-03,2717223.2474516802
2014-07-04,1482658.7388869422
2014-07-05,1760032.3353322283
2014-07-06,1636432.1304299475
2014-07-07,1958641.0230177843
2014-07-08,1533271.583687179
2014-07-09,1735435.0789859353
2014-07-10,2207478.825106075
2014-07-11,1730758.8175562534
2014-07-12,1884483.1294928964
2014-07-13,1870496.5667854869
2014-07-14,2343212.1465249625
2014-07-15,2190827.8020071597
2014-07-16,2619504.2673185663
2014-07-17,1718859.7912025913
2014-07-18,1880913.4152224965
2014-07-19,1089020.8566657102
2014-07-20,1138795.0349888988
2014-07-21,1789114.6300354863
2014-07-22,1684263.6763058098
2014-07-23,1711935.5010541205
2014-07-24,2259932.8165801778
2014-07-25,1809470.540654699
2014-07-26,1363538.280479838
2014-07-27,999938.2985243091
2014-07-28,1909019.452273686
2014-07-29,1880804.008793728
2014-07-30,1420777.7144047564
2014-07-31,1656199.5991909192
2014-08-01,1747013.648282535
2014-08-02,1402950.7386672017
2014-08-03,1607803.12342068
2014-08-04,1931375.093077172
2014-08-05,2665024.937943686
2014-08-06,1664266.941706929
2014-08-07,1597628.5531234879
2014-08-08,1263023.2342935542
2014-08-09,1175276.1496839398
2014-08-10,1175870.219695289
2014-08-11,1751317.8189674516
2014-08-12,2324493.2420888375
2014-08-13,2490890.0467124283
2014-08-14,2067728.7107650165
2014-08-15,2432812.1482993606
2014-08-16,2120827.910345157
2014-08-17,1397962.4602859337
2014-08-18,2511132.9445398413
2014-08-19,1741771.0462012426
2014-08-20,1729651.692515015
2014-08-21,2400419.735402342
2014-08-22,10141647.346431887
2014-08-23,2215186.4112389493
2014-08-24,1430794.0769870516
2014-08-25,3563998.5773110706
2014-08-26,5273758.655154088
2014-08-27,4309071.390604727
2014-08-28,2157397.8557370845
2014-08-29,1755382.4642652976
2014-08-30,1571570.6764992862
2014-08-31,1299382.3164489388
2014-09-01,2473306.020025688
2014-09-02,1853984.6495656508
2014-09-03,1452037.1942634727
2014-09-04,1371143.2209210256
2014-09-05,1638655.5745886615
2014-09-06,843585.814768817
2014-09-07,1128493.3568715742
2014-09-08,1649749.591722306
2014-09-09,1710203.6197168252
2014-09-10,1434983.3764046307
2014-09-11,1254595.2177139395
2014-09-12,1435191.007937866
2014-09-13,867007.0496552584
2014-09-14,1107334.8932722537
2014-09-15,1363009.581644674
2014-09-16,1155397.7566875466
2014-09-17,1090741.590697371
2014-09-18,1551770.3575604684
2014-09-19,1694402.241211044
2014-09-20,1711877.5253616467
2014-09-21,1967373.929104243
2014-09-22,1414628.2451105101
2014-09-23,2229311.5370937088
2014-09-24,2395129.18913568
2014-09-25,1594839.6529260462
2014-09-26,1687096.5520771167
2014-09-27,1457564.8939283548
2014-09-28,1336401.3941174024
2014-09-29,2012520.9747018013
2014-09-30,1675399.9769040917
2014-10-01,1687058.2045928275
2014-10-02,1560954.1120064312
2014-10-03,1631701.1485450224
2014-10-04,1364139.9404824614
2014-10-05,1802288.0028917068
2014-10-06,2354096.551563521
2014-10-07,2281327.097846949
2014-10-08,2286436.7895301576
2014-10-09,2369173.0998009164
2014-10-10,2295409.027307348
2014-10-11,1536374.231708094
2014-10-12,1251759.6411093068
2014-10-13,2010012.9735526524
2014-10-14,2666110.5979179065
2014-10-15,3050393.356383624
2014-10-16,2731502.043026778
2014-10-17,2518885.24425773
2014-10-18,1422655.455584018
2014-10-19,1295975.483551471
2014-10-20,2330942.462048597
2014-10-21,1445794.0782799502
2014-10-22,1949299.3738669613
2014-10-23,2576128.963591239
2014-10-24,1546437.2333731358
2014-10-25,2099467.1326345513
2014-10-26,2442043.114220486
2014-10-27,2402118.758411504
2014-10-28,2044564.8217776683
2014-10-29,1781401.7917763856
2014-10-30,1416947.2751051015
2014-10-31,2237748.913814075
2014-11-01,1424180.875451755
2014-11-02,1158165.4885511345
2014-11-03,2103734.575308573
2014-11-04,2376404.851625102
2014-11-05,2433222.8409484415
2014-11-06,1678183.2522768725
2014-11-07,1985116.1495150516
2014-11-08,1343980.1567888977
2014-11-09,1309473.9968967598
2014-11-10,2353299.272448156
2014-11-11,2337667.113859113
2014-11-12,3174476.7811259064
2014-11-13,4569482.792021039
2014-11-14,2340494.42254258
2014-11-15,2267921.7474888954
2014-11-16,1880705.688089842
2014-11-17,2174461.5172956437
2014-11-18,2405788.5925534503
2014-11-19,2378095.655259896
2014-11-20,2641106.9663012163
2014-11-21,3676738.6266923617
2014-11-22,1888599.4537805372
2014-11-23,1590043.4543399052
2014-11-24,2048387.659318182
2014-11-25,2715993.5172595577
2014-11-26,2842613.1539457515
2014-11-27,2669844.297610448
2014-11-28,3416662.4464303725
2014-11-29,2365246.5524710384
2014-11-30,2328685.761332408
2014-12-01,3856184.162296679
2014-12-02,3430501.789189062
2014-12-03,3897620.249032512
2014-12-04,2759968.8281759745
2014-12-05,2783691.09407846
2014-12-06,1695095.0921809694
2014-12-07,2353739.60211941
2014-12-08,3572602.264136851
2014-12-09,2803186.9714471134
