,cumsum_supply_usd
2013-08-16,1266440468.8052688
2013-08-17,1292347552.9121952
2013-08-18,1310939460.8036993
2013-08-19,1371610863.6200287
2013-08-20,1397606974.1140616
2013-08-21,1418573033.9398248
2013-08-22,1413105551.989773
2013-08-23,1384295981.0005414
2013-08-24,1385820360.8777058
2013-08-25,1410131019.802749
2013-08-26,1406102885.8553329
2013-08-27,1492186063.621964
2013-08-28,1505507391.6025577
2013-08-29,1497547227.7497559
2013-08-30,1593849371.5530984
2013-08-31,1664103599.493113
2013-09-01,1679387139.5324922
2013-09-02,1680014570.5141544
2013-09-03,1680505210.507512
2013-09-04,1602956554.8340194
2013-09-05,1539633164.7028377
2013-09-06,1483737927.0242546
2013-09-07,1472175184.238818
2013-09-08,1467840562.195133
2013-09-09,1531992646.6574614
2013-09-10,1558319665.0743105
2013-09-11,1591939465.1797893
2013-09-12,1636911765.52324
2013-09-13,1654709472.715876
2013-09-14,1625839116.993282
2013-09-15,1608020253.9350076
2013-09-16,1634470455.2808554
2013-09-17,1628790261.1572044
2013-09-18,1639755989.847803
2013-09-19,1597632232.9977384
2013-09-20,1574376707.9561992
2013-09-21,1569633552.6122108
2013-09-22,1555066417.1594272
2013-09-23,1565019782.4750805
2013-09-24,1576522038.3939135
2013-09-25,1596112600.2686229
2013-09-26,1594589723.0719814
2013-09-27,1629847095.9333222
2013-09-28,1652200892.40322
2013-09-29,1696365891.6409793
2013-09-30,1669073168.3384044
2013-10-01,1642809045.9328005
2013-10-02,1478866113.0573225
2013-10-03,1502692640.5234833
2013-10-04,1587623260.5249605
2013-10-05,1609201148.1102853
2013-10-06,1603144469.471605
2013-10-07,1616323215.9840705
2013-10-08,1608807715.0773215
2013-10-09,1642357915.2173278
2013-10-10,1658049206.2661836
2013-10-11,1659048832.9783266
2013-10-12,1671441085.6826148
2013-10-13,1712107577.4538906
2013-10-14,1781336747.7304354
2013-10-15,1822539036.9146273
2013-10-16,1842597164.4159636
2013-10-17,1842971052.4262702
2013-10-18,1938611332.0537136
2013-10-19,2148015759.6374083
2013-10-20,2170862310.738569
2013-10-21,2270877210.9150662
2013-10-22,2373443643.3283887
2013-10-23,2536454728.247073
2013-10-24,2426144042.083621
2013-10-25,2244873011.82515
2013-10-26,2285482014.0057287
2013-10-27,2377278308.2186804
2013-10-28,2455807845.006446
2013-10-29,2511362680.9384093
2013-10-30,2515085229.790339
2013-10-31,2522709922.2348156
2013-11-01,2536693597.689892
2013-11-02,2541909849.8543744
2013-11-03,2621203460.0966725
2013-11-04,2759327853.512243
2013-11-05,2937009550.867764
2013-11-06,3144374548.9074755
2013-11-07,3560945459.8795776
2013-11-08,4041210350.063318
2013-11-09,4418611592.337311
2013-11-10,3907494130.503718
2013-11-11,4208070865.488723
2013-11-12,4519970377.7282915
2013-11-13,4925400156.264078
2013-11-14,5127989814.255217
2013-11-15,5227698410.117003
2013-11-16,5479861538.393799
2013-11-17,6001717539.940634
2013-11-18,7647816291.983615
2013-11-19,8506261707.324833
2013-11-20,6712008904.208209
2013-11-21,8470923313.856948
2013-11-22,9058385072.592669
2013-11-23,10106318042.852455
2013-11-24,9639238024.288273
2013-11-25,9787454237.48771
2013-11-26,10791418975.862015
2013-11-27,12064152570.767344
2013-11-28,13356351943.885653
2013-11-29,13482407348.0
2013-11-30,11505290875.0
2013-12-01,12589698388.57818
2013-12-02,12719370125.000002
2013-12-03,13678546024.876585
2013-12-04,12353529081.75
2013-12-05,9857484127.610403
2013-12-06,8370300268.2703495
2013-12-07,9498531334.301785
2013-12-08,10871237859.278885
2013-12-09,11853463952.636095
2013-12-10,10632059751.763092
2013-12-11,10548130898.561378
2013-12-12,10717670571.828606
2013-12-13,10299925531.0
2013-12-14,10426309803.288492
2013-12-15,8368032167.236895
2013-12-16,8170927983.091731
2013-12-17,6305512815.68597
2013-12-18,8309601163.896365
2013-12-19,7398608700.1011
2013-12-20,7224229478.499998
2013-12-21,7453139882.937758
2013-12-22,7954810192.0
2013-12-23,7931202319.424643
2013-12-24,8257373662.065014
2013-12-25,9134505681.55508
2013-12-26,8770480762.082586
2013-12-27,8687492302.092424
2013-12-28,8864661858.758585
2013-12-29,8969741976.442595
2013-12-30,8905308243.425203
2013-12-31,9196958932.711695
2014-01-01,9562181002.380838
2014-01-02,9859612815.027945
2014-01-03,10112651013.439493
2014-01-04,11046283272.46735
2014-01-05,11222564521.0
2014-01-06,9566475559.663233
2014-01-07,10068239009.974228
2014-01-08,10087331131.393848
2014-01-09,10427278392.365541
2014-01-10,10967313027.499998
2014-01-11,10318088565.398363
2014-01-12,10083503889.460201
2014-01-13,9993368084.817055
2014-01-14,10309157228.156881
2014-01-15,9973611006.126547
2014-01-16,9787598314.237957
2014-01-17,9940076490.752943
2014-01-18,10325543401.423866
2014-01-19,10143243488.32777
2014-01-20,10125635096.222216
2014-01-21,10057174889.352564
2014-01-22,9973121671.28377
2014-01-23,9576525912.336985
2014-01-24,9913922455.477127
2014-01-25,10022420572.530416
2014-01-26,9242337510.577827
2014-01-27,9678545014.038807
2014-01-28,9766415730.26071
2014-01-29,9859310250.0862
2014-01-30,9894829463.224775
2014-01-31,10019442202.626823
2014-02-01,10043945331.241037
2014-02-02,9959183016.035126
2014-02-03,9906334856.776497
2014-02-04,9635716249.399916
2014-02-05,9427281793.81389
2014-02-06,8693198409.106356
2014-02-07,8407556023.5
2014-02-08,8504648806.415108
2014-02-09,8499050612.397987
2014-02-10,8345293050.983102
2014-02-11,8066186077.103724
2014-02-12,7482720718.097691
2014-02-13,8276792011.45922
2014-02-14,8105728299.1661005
2014-02-15,7693848450.0
2014-02-16,7833790814.992117
2014-02-17,7783476377.92609
2014-02-18,7722094886.065458
2014-02-19,6967715931.301901
2014-02-20,7207329954.545989
2014-02-21,7572212810.454718
2014-02-22,7561577849.401073
2014-02-23,6655643492.03763
2014-02-24,6647254066.7307005
2014-02-25,7269557666.001018
2014-02-26,7255622854.6522255
2014-02-27,6878564202.485361
2014-02-28,7069224196.116571
2014-03-01,7046342952.183139
2014-03-02,8457847165.774073
2014-03-03,8378042513.364464
2014-03-04,8347019123.758667
2014-03-05,8338229323.960782
2014-03-06,7880700103.745678
2014-03-07,7712466554.572396
2014-03-08,7976821100.5379505
2014-03-09,7842249192.0118685
2014-03-10,7899047430.568828
2014-03-11,7936468535.887581
2014-03-12,8022277449.761076
2014-03-13,7867654479.599986
2014-03-14,7957051770.670623
2014-03-15,7932150190.910739
2014-03-16,7780167992.72808
2014-03-17,7674291067.8600445
2014-03-18,7642296700.232138
2014-03-19,7355372299.748604
2014-03-20,7146046132.027616
2014-03-21,7074524365.211723
2014-03-22,7015904229.48289
2014-03-23,7347215630.141525
2014-03-24,7324833664.970183
2014-03-25,7271338712.905016
2014-03-26,5957204304.181521
2014-03-27,6305674037.936264
2014-03-28,6182877640.10245
2014-03-29,5786299680.309577
2014-03-30,5731142273.804457
2014-03-31,6028462626.185009
2014-04-01,5511824144.873751
2014-04-02,5657441629.04659
2014-04-03,5666412960.213344
2014-04-04,5849324339.846419
2014-04-05,5759528283.668914
2014-04-06,5631348605.397695
2014-04-07,5710590596.725906
2014-04-08,5572525621.616999
2014-04-09,4586526567.324791
2014-04-10,5324782336.749281
2014-04-11,5343008778.440261
2014-04-12,5266073929.317364
2014-04-13,5799566409.76775
2014-04-14,6571629745.9439
2014-04-15,6706306965.272198
2014-04-16,6310557754.733885
2014-04-17,6091670715.398238
2014-04-18,6380660923.870299
2014-04-19,6332435655.373886
2014-04-20,6279890446.540632
2014-04-21,6202232771.678839
2014-04-22,6231168589.425242
2014-04-23,6370574151.446146
2014-04-24,5900161565.946176
2014-04-25,5826055980.493538
2014-04-26,5454306980.644041
2014-04-27,5611046568.716527
2014-04-28,5679584759.49348
2014-04-29,5699702832.644444
2014-04-30,5847467792.537008
2014-05-01,5764295841.602634
2014-05-02,5583747744.88164
2014-05-03,5551236074.09552
2014-05-04,5502838566.362459
2014-05-05,5453775299.372296
2014-05-06,5600900052.91436
2014-05-07,5574283066.916745
2014-05-08,5764992012.89436
2014-05-09,5803610995.225581
2014-05-10,5591678950.615528
2014-05-11,5625683556.863859
2014-05-12,5597135659.576026
2014-05-13,5683651866.218857
2014-05-14,5694174528.299021
2014-05-15,5713510441.325034
2014-05-16,5732347175.133235
2014-05-17,5708416520.93855
2014-05-18,5722782622.01271
2014-05-19,6260683807.132655
2014-05-20,6320619074.45987
2014-05-21,6769396436.743866
2014-05-22,6698421506.3119755
2014-05-23,6758918171.630831
2014-05-24,7346040391.485686
2014-05-25,7480569939.400613
2014-05-26,7355094441.737022
2014-05-27,7426871435.160241
2014-05-28,7316585481.320522
2014-05-29,7959934838.26404
2014-05-30,8041032367.536283
2014-05-31,8058764308.313981
2014-06-01,8521670565.1566725
2014-06-02,8630550260.353428
2014-06-03,8236080640.309161
2014-06-04,8492257291.635235
2014-06-05,8329260607.273107
2014-06-06,8445593411.1454525
2014-06-07,8463812633.467136
2014-06-08,8352380836.79921
2014-06-09,8400511589.695232
2014-06-10,8100496886.470602
2014-06-11,7525248395.36373
2014-06-12,7696467644.688851
