Date,Total Volume
2020-06-12,454919.37751419656
2020-06-13,463462.4398147761
2020-06-14,977371.8413536167
2020-06-15,645439.058983364
2020-06-16,586542.7029800122
2020-06-17,480983.86753213743
2020-06-18,603458.0159462097
2020-06-19,491036.5998275353
2020-06-20,395149.86163626396
2020-06-21,645761.8009882609
2020-06-22,481260.5404568929
2020-06-23,678112.4930126583
2020-06-24,659034.2662876699
2020-06-25,614561.7070900648
2020-06-26,549307.1287312597
2020-06-27,410459.37934975326
2020-06-28,478483.35223236796
2020-06-29,419844.52657063724
2020-06-30,432828.3929173204
2020-07-01,577018.8188196991
2020-07-02,336983.753321639
2020-07-03,280349.7114132461
2020-07-04,357743.7474738692
2020-07-05,552041.1114821729
2020-07-06,379767.27987528354
2020-07-07,492814.1168332524
2020-07-08,476812.41875596065
2020-07-09,359282.9989539784
2020-07-10,228400.40325503788
2020-07-11,326357.71243891923
2020-07-12,381132.46373278915
2020-07-13,394222.406180239
2020-07-14,314430.9937370282
2020-07-15,433541.924205643
2020-07-16,263313.9343216301
2020-07-17,214321.15717530937
2020-07-18,232133.55136571603
2020-07-19,275664.40092145756
2020-07-20,492121.49281090434
2020-07-21,386772.37727515027
2020-07-22,470309.9765511976
2020-07-23,393828.41585493524
2020-07-24,395257.7300411585
2020-07-25,684048.2120596607
2020-07-26,1597768.6362376313
2020-07-27,1256879.1886132953
2020-07-28,874078.2881367734
2020-07-29,655099.1850941831
2020-07-30,741942.6503746436
2020-07-31,914558.937983165
2020-08-01,1156223.744602377
2020-08-02,630789.1834629552
2020-08-03,602460.3406468002
2020-08-04,697918.1811574014
2020-08-05,658032.6741921888
2020-08-06,685919.3448804553
2020-08-07,459169.2353327862
2020-08-08,404365.5143112871
2020-08-09,809389.7501175139
2020-08-10,882552.8977812319
2020-08-11,684296.6093453714
2020-08-12,703510.7865774212
2020-08-13,502537.27119237336
2020-08-14,574031.2004644659
2020-08-15,482454.13638958795
2020-08-16,808824.7587321665
2020-08-17,726884.1323587771
2020-08-18,775430.856642509
2020-08-19,450366.1280463248
2020-08-20,593302.8490431531
2020-08-21,443818.2984575451
2020-08-22,350508.8516466248
2020-08-23,380640.9063082679
2020-08-24,724594.114958974
2020-08-25,536203.280578538
2020-08-26,683433.0983809119
2020-08-27,467085.932575962
2020-08-28,344958.47788756026
2020-08-29,373516.39350244834
2020-08-30,448007.5909543225
2020-08-31,652630.4601987088
2020-09-01,850799.4228750478
2020-09-02,1236998.823246301
2020-09-03,1159915.274444392
2020-09-04,1196231.7023844942
2020-09-05,676927.2866670531
2020-09-06,739756.1514927663
2020-09-07,829333.3995932267
2020-09-08,520349.27561889135
2020-09-09,600989.6642571684
2020-09-10,455437.0056617844
2020-09-11,334426.8955665506
2020-09-12,472060.8340651737
2020-09-13,593155.9325280547
2020-09-14,658943.0012476917
2020-09-15,672181.1417567548
2020-09-16,725626.7711301295
2020-09-17,439650.3554741656
2020-09-18,380950.70513710077
2020-09-19,443741.2717749311
2020-09-20,784107.5568476076
2020-09-21,535967.3767227833
2020-09-22,553979.155816867
2020-09-23,629969.3858184288
2020-09-24,514857.6592613315
2020-09-25,378339.8600153477
2020-09-26,420203.9160267432
2020-09-27,588008.3935289041
2020-09-28,559998.5563952731
2020-09-29,464624.30123688705
2020-09-30,676816.0399465829
2020-10-01,658630.1769892676
2020-10-02,309405.99558948487
2020-10-03,315782.7699653324
2020-10-04,408255.51101450576
2020-10-05,551968.7721204063
2020-10-06,393726.0320243109
2020-10-07,581442.5993037595
2020-10-08,483612.4221659808
2020-10-09,575397.0978646512
2020-10-10,408211.52182911313
2020-10-11,676090.6558629493
2020-10-12,589727.1457156759
2020-10-13,542982.7306299404
2020-10-14,589893.8522466986
2020-10-15,619301.7164779493
2020-10-16,311010.0433352314
2020-10-17,293811.3068973754
2020-10-18,583688.7343716377
2020-10-19,785843.8436242184
2020-10-20,1362338.5943506379
2020-10-21,949154.6591028769
2020-10-22,609544.2044672362
2020-10-23,420340.83190523495
2020-10-24,492495.2596613426
2020-10-25,726080.2891453649
2020-10-26,920660.0728053914
2020-10-27,1124052.7462832537
2020-10-28,921709.2657312575
2020-10-29,947601.4730848132
2020-10-30,841113.944337853
2020-10-31,473602.5780418243
2020-11-01,822278.9021700288
2020-11-02,835529.5702025739
2020-11-03,1127982.8458255904
2020-11-04,1607320.5859402872
2020-11-05,1411787.5350365946
2020-11-06,1099461.1448195493
2020-11-07,710985.124791381
2020-11-08,1206377.9438367872
2020-11-09,760928.0951180605
2020-11-10,991555.3228027556
2020-11-11,1223250.0621378233
2020-11-12,911546.7126583245
2020-11-13,699662.8365582518
2020-11-14,617894.7398313022
2020-11-15,960138.4022034683
2020-11-16,1283013.1584562643
2020-11-17,1723386.506227246
2020-11-18,1173555.1633359254
2020-11-19,1166385.7951695973
2020-11-20,956987.2501881737
2020-11-21,1015396.4987600707
2020-11-22,1183167.5061252106
2020-11-23,1369450.7794802126
2020-11-24,1222387.4321896578
2020-11-25,2160368.1559611764
2020-11-26,1207704.0451476793
2020-11-27,771973.5653800917
2020-11-28,771359.9457434752
2020-11-29,1473169.719323997
2020-11-30,1773082.1957391899
2020-12-01,1254938.7092528965
2020-12-02,997193.5298574374
2020-12-03,1005530.5859054517
2020-12-04,730317.8991807417
2020-12-05,691115.614969033
2020-12-06,828708.928334375
2020-12-07,1106389.4433003447
2020-12-08,1611001.191443471
2020-12-09,1036787.8005728588
2020-12-10,1194240.9559033941
2020-12-11,849959.1455704733
2020-12-12,947229.4333729779
2020-12-13,841309.6829163816
2020-12-14,939757.5770117475
2020-12-15,1447680.851516457
2020-12-16,2200053.151424626
2020-12-17,1194023.3391016214
2020-12-18,1162596.1064366389
2020-12-19,1054846.4541579648
2020-12-20,1546557.4819989959
2020-12-21,1312049.2602939755
2020-12-22,1497314.4625979275
2020-12-23,1153441.7672530862
2020-12-24,1228547.4502104293
2020-12-25,1316505.301822381
2020-12-26,1639225.0627046356
2020-12-27,1187352.8569822342
2020-12-28,1159317.8951064888
2020-12-29,1385786.4003845076
2020-12-30,1284023.253260684
2020-12-31,954300.1713283613
2021-01-01,1708873.3450935534
2021-01-02,1758665.7801622918
2021-01-03,2065538.793966177
2021-01-04,1863455.0002128186
2021-01-05,1665635.4113468209
2021-01-06,1842563.0145496048
2021-01-07,2041748.00038161
2021-01-08,1253951.902702328
2021-01-09,1461942.5339188983
2021-01-10,2930028.0613551727
2021-01-11,1837455.6157378906
2021-01-12,1652647.0205194016
2021-01-13,1377616.4945619248
2021-01-14,1625689.135887864
2021-01-15,1255759.8072420885
2021-01-16,1340693.1649959364
2021-01-17,1285113.9000814324
2021-01-18,1317231.0035144577
2021-01-19,1513113.7817316114
2021-01-20,2037188.5072733995
2021-01-21,1776853.4075834763
2021-01-22,1172143.4248938386
2021-01-23,1000391.3137897498
2021-01-24,1412830.0573528449
2021-01-25,1583834.6842810856
2021-01-26,1741144.6384832002
2021-01-27,1408178.8467243742
2021-01-28,2464021.7734186035
2021-01-29,1571389.6089740645
2021-01-30,1297729.5702845438
