,vol_bitfinex_by_supply_btc
2016-01-31,4.410056345237631e-06
2016-02-01,1.849498835471236e-06
2016-02-02,2.3625329446977623e-06
2016-02-03,6.333659978331687e-06
2016-02-04,2.8881095418396647e-06
2016-02-05,7.088733904815784e-06
2016-02-06,2.3047466479681134e-06
2016-02-07,3.0020309912663585e-06
2016-02-08,1.6266502390858428e-06
2016-02-09,5.809065087918303e-06
2016-02-10,2.5303845270888515e-06
2016-02-11,1.7457925822453836e-06
2016-02-12,2.4781690246879505e-06
2016-02-13,4.754875822789266e-06
2016-02-14,4.9612071194419675e-06
2016-02-15,2.259651855040686e-06
2016-02-16,4.817063386569224e-06
2016-02-17,3.937042005146768e-06
2016-02-18,2.076903628188443e-06
2016-02-19,7.126756504100796e-06
2016-02-20,6.42465931382943e-06
2016-02-21,2.44309184335884e-06
2016-02-22,5.0633190809628105e-06
2016-02-23,3.4619691650241543e-06
2016-02-24,2.104006627691569e-06
2016-02-25,2.853077580951509e-06
2016-02-26,1.755481506033454e-06
2016-02-27,3.0011689793138515e-06
2016-02-28,3.0562176509141048e-06
2016-02-29,2.9656052869929983e-06
2016-03-01,2.5578939968772868e-06
2016-03-02,3.2575823139118408e-06
2016-03-03,3.490375561574653e-06
2016-03-04,7.73533023231019e-06
2016-03-05,3.1942744752745834e-06
2016-03-06,2.4280049584786417e-06
2016-03-07,1.6275210738066413e-06
2016-03-08,1.4308485197134862e-06
2016-03-09,2.1550052371662086e-06
2016-03-10,2.409105704272435e-06
2016-03-11,2.712995307604505e-06
2016-03-12,1.2097064064734846e-06
2016-03-13,1.4494026581142789e-06
2016-03-14,1.5148145993615607e-06
2016-03-15,1.1081715705575934e-06
2016-03-16,1.2965473292741895e-06
2016-03-17,3.373179904957064e-06
2016-03-18,1.4288243103383088e-06
2016-03-19,8.97560072631256e-07
2016-03-20,1.2387398695605922e-06
2016-03-21,1.5944917827482128e-06
2016-03-22,1.1233652710489443e-06
2016-03-23,1.1892363831016405e-06
2016-03-24,5.782438089894603e-07
2016-03-25,7.881525489688045e-07
2016-03-26,3.4230627676574878e-06
2016-03-27,1.4215423584007273e-06
2016-03-28,3.64832720536507e-06
2016-03-29,1.4242582363589168e-06
2016-03-30,1.1381973695876323e-06
2016-03-31,8.509070414984588e-07
2016-04-01,9.406462621614539e-07
2016-04-02,6.586211015171186e-07
2016-04-03,8.912840911736041e-07
2016-04-04,1.1161164045560593e-06
2016-04-05,8.753897298549306e-07
2016-04-06,1.1906968087911416e-06
2016-04-07,1.528350435668717e-06
2016-04-08,9.816253106158145e-07
2016-04-09,6.541466986239707e-07
2016-04-10,9.817208393525994e-07
2016-04-11,2.247405189715732e-06
2016-04-12,1.01822912779017e-06
2016-04-13,6.29651875236046e-07
2016-04-14,2.3832620874135405e-06
2016-04-15,1.1560076731433324e-06
2016-04-16,1.282143204200995e-06
2016-04-17,1.1422394030841215e-06
2016-04-18,1.7860769265293114e-06
2016-04-19,3.1049030190381742e-06
2016-04-20,2.5557371969098173e-06
2016-04-21,1.7648482823586298e-06
2016-04-22,1.448813681495374e-06
2016-04-23,3.376561217444524e-06
2016-04-24,3.6247727079929227e-06
2016-04-25,2.580337052332803e-06
2016-04-26,5.854665909670058e-06
2016-04-27,3.6364641213651983e-06
2016-04-28,1.900892460174975e-06
2016-04-29,1.5242179098373313e-06
2016-04-30,5.559846364942993e-07
2016-05-01,4.324625221881309e-06
2016-05-02,1.741497207663406e-06
2016-05-03,1.0163309448442925e-06
2016-05-04,1.5516253036851282e-06
2016-05-05,3.7159779428996726e-06
2016-05-06,1.095000876011219e-06
2016-05-07,9.044376510449283e-07
2016-05-08,2.1104124543318394e-06
2016-05-09,3.22476134727668e-06
2016-05-10,1.1428041147019762e-06
2016-05-11,2.5597967441800357e-06
2016-05-12,1.0058154876945631e-06
2016-05-13,5.086702767776982e-07
2016-05-14,7.920264096697921e-07
2016-05-15,1.246240377725928e-06
2016-05-16,1.0799381080470474e-06
2016-05-17,1.014965922925496e-06
2016-05-18,4.49025888138697e-06
2016-05-19,2.0682164941173342e-06
2016-05-20,9.033612195871022e-07
2016-05-21,1.059548754141624e-06
2016-05-22,1.1392559075873147e-06
2016-05-23,1.2012341153861293e-06
2016-05-24,1.7648718298687272e-06
2016-05-25,1.3468411568559285e-06
2016-05-26,8.045033739492801e-06
2016-05-27,9.115981852966225e-06
2016-05-28,1.0132451259236849e-05
2016-05-29,3.931041329527624e-06
2016-05-30,6.027046587441946e-06
2016-05-31,3.3257661028370617e-06
2016-06-01,2.010014675929002e-06
2016-06-02,5.441827733990471e-06
2016-06-03,4.372602830669339e-06
2016-06-04,3.141527100867386e-06
2016-06-05,3.0055350178717465e-06
2016-06-06,4.0051528725405946e-06
2016-06-07,1.986145400869714e-06
2016-06-08,2.4321584227497588e-06
2016-06-09,1.7857120866608624e-06
2016-06-10,2.9677324053948644e-06
2016-06-11,1.1072722685601756e-05
2016-06-12,1.0665923131293258e-05
2016-06-13,6.137754645687411e-06
2016-06-14,3.128127119852325e-06
2016-06-15,1.028608731554773e-05
2016-06-16,8.317258324992621e-06
2016-06-17,5.646289953165092e-06
2016-06-18,2.223367530466948e-06
2016-06-19,4.013676344634079e-06
2016-06-20,9.756518307306072e-06
2016-06-21,1.0601494445813034e-05
2016-06-22,1.2525241171993879e-05
2016-06-23,8.851322198987394e-06
2016-06-24,5.331854831327787e-06
2016-06-25,4.575452129663755e-06
2016-06-26,4.452453357016917e-06
2016-06-27,3.5058215862412173e-06
2016-06-28,3.317115819633121e-06
2016-06-29,3.8061504348027844e-06
2016-06-30,3.925644618008978e-06
2016-07-01,2.6361150585845483e-06
2016-07-02,4.308095301678973e-06
2016-07-03,2.1974879879836956e-06
2016-07-04,1.6569047195078708e-06
2016-07-05,1.4959529389432929e-06
2016-07-06,7.520829384086537e-06
2016-07-07,3.1401856843898213e-06
2016-07-08,4.588132361545763e-06
2016-07-09,1.0042837023260645e-06
2016-07-10,1.363474065705856e-06
2016-07-11,2.8797689595899196e-06
2016-07-12,1.6993484195815349e-06
2016-07-13,1.943943959589482e-06
2016-07-14,9.035789897351174e-07
2016-07-15,5.65676520647098e-07
2016-07-16,1.900222190781185e-06
2016-07-17,1.7026191735950517e-06
2016-07-18,1.0303946800420237e-06
2016-07-19,1.2246715169958388e-06
2016-07-20,1.0210637366080138e-06
2016-07-21,2.7206793517697973e-06
2016-07-22,9.692112879055726e-07
2016-07-23,1.3446288586150091e-06
2016-07-24,1.4376531567871472e-06
2016-07-25,1.9873193309179627e-06
